HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
T-360,認可保育所,Y,本郷町保育園,本郷町保育園,,,125,,,,,,,,,富山市,本郷町13-8,076-491-4150,,,,,,36.66435,137.23645,,,
T-361,認可保育所,Y,下堀こども園,下堀こども園,,,125,,,,,,,,,富山市,下堀8,076-481-6823,,,,,,36.6622,137.22505,,,
T-401,認可外,,さくらキッズステーション,さくらキッズステーション,,,,8:00,19:00,,,,,,,富山市,黒崎２９１番地,481-6270,,,,,,36.652,137.20744,,,
T-402,認可外,,ニチイキッズ とやま光陽保育園,ニチイキッズ とやま光陽保育園,,,,8:00,19:00,,,,,,,富山市,二口町一丁目2-4 アルトリオ１階,420-1115,,,,,,36.6739,137.2036,,,
T-403,認可外,,おやとこ保育園,おやとこ保育園,,,,8:00,19:00,,,,,,,富山市,八人町8-10,461-7092,,,,,,36.69215,137.21663,,,
T-404,認可外,,まんまるキッズ英語保育園,まんまるキッズ英語保育園,,,,8:00,19:00,,,,,,,富山市,山室.340-2　サザンロードビル2F,461-5957,,,,,,36.67236,137.23608,,,
T-405,認可外,,都市型保育園ポポラー山室園,都市型保育園ポポラー山室園,,,,7:30,20:30,,,,,,,富山市,山室226-2グリーンモール山室 保育園棟,424-1070,,,,,,36.67236,137.23608,,,
T-406,認可外,,ファボーレ保育園,ファボーレ保育園,,,,8:00,21:00,,,,,,,富山市,婦中町下轡田１６５番地１,482-5330,,,,,,36.66263,137.17131,,,
T-407,認可外,,ありさわくらす,ありさわくらす,,,,7:00,20:00,,(20:00~22:00),,,,,富山市,有沢２６１番地,405-9155,,,,,,36.68499,137.18896,,,
T-408,認可外,,グランキッズ,グランキッズ,,,,8:00,19:00,,,,,,,富山市,石坂3277-1,070-1532-1904,,,,,,36.71267,137.2025,,,
T-409,認可外,,チャイルドスクウェア,チャイルドスクウェア,,,,17:00,26:00:00,,(26:00~翌8:30),,,,,富山市,総曲輪二丁目４番１５号,424-0881,,,,,,36.69107,137.21506,,,
T-410,認可外,,託児施設さくらの風,託児施設さくらの風,,,,18:00,翌3:00,,(金曜日は17:00~),,,,,富山市,桜木町５番１０号,411-7710,,,,,,36.69474,137.21541,,,
T-411,認可外,,たんぽぽ園,たんぽぽ園,,,,8:00,18:00,,,,,,,富山市,水橋池田舘（水橋花の井町）４番地１７,478-0405,,,,,,36.74024,137.30382,,,
T-412,認可外,,スタンフォードイングリッシュ,スタンフォードイングリッシュ,,,,9:30,15:00,,(8:00~9:30)(15:00~18:00)(3歳未満児 14:00~),,,,,富山市,粟島町二丁目４番２３号,413-2378,,,,,,36.72196,137.22849,,,
T-413,認可外,,ＴＬＣ ＫＩＤＳ ＣＬＵＢ,ＴＬＣ ＫＩＤＳ ＣＬＵＢ,,,,9:00,15:00,,(15時以降要相談),,,,,富山市,大泉本町一丁目９番１１号,090-9442-3036,,,,,,36.6771,137.22334,,,
T-414,認可外,,フレンズプリスクール,フレンズプリスクール,,,,8:30,14:30,,,,,,,富山市,中老田７９９番地,413-2343,,,,,,36.70166,137.12752,,,
T-415,認可外,,フローベルズインターナショナルスクール,フローベルズインターナショナルスクール,,,,8:30,15:00,,(15:00~18:00),,,,,富山市,秋吉１２１番地９,424-0065,,,,,,36.68253,137.24445,,,
T-416,認可外,,Ｂａｂｙ る～む Ｓｍｉｌｅ フラワー,Ｂａｂｙ る～む Ｓｍｉｌｅ フラワー,,,,8:00,18:00,,(18:00~21:00),,,,,富山市,稲荷元町一丁目７番２号,441-2445,,,,,,36.69698,137.22726,,,
T-417,認可外,,森のようちえんまめでっぽう,森のようちえんまめでっぽう,,,,9:30,14:45,,(7:30~9:30)(14:45~19:00),,,,,富山市,婦中町東谷字細谷２５番地,090-5170-9945,,,,,,36.62656,137.0827,,,
T-418,認可外,,ガイアの森のようちえん,ガイアの森のようちえん,,,,9:00,15:00,,,,,,,富山市,婦中町新町２７８１－１,433-1238,,,,,,36.65598,137.1212,,,
T-419,認可外,,ＦＯＲＹＯＵ Ｋｉｄｓメイト,ＦＯＲＹＯＵ Ｋｉｄｓメイト,,,,9:00,26:00:00,,,,,,,富山市,茶屋町４７７ FORYOUビル２F,434-4471,,,,,,36.70885,137.17827,,,
T-420,認可外,,ジョリーキッズインターナショナルスクール,ジョリーキッズインターナショナルスクール,,,,8:30,17:00,,(7:30~8:30)(17:00~19:00),,,,,富山市,本郷町三区265-2,080-9781-8160,,,,,,36.66335,137.23758,,,
T-421,認可外,,スマイルキッズ,スマイルキッズ,,,,0:00,24:00:00,,,,,,,,,464-5102,,,,,,,,,,
T-422,認可外,,pua ぷあ,pua ぷあ,,,,9:00,19:00,,,,,,,富山市,花園町2丁目1－10,070-3864-3444,,,,,,36.68149,137.20825,,,
